image_id	color	name_jp	name_en	cost	bp	dp	ability_jp	ability_en	pack_jp	pack_en	rarity_en	gamerch_url	ability_jp_source	official_order	official_name_jp	official_image_url_jp	card_type	card_type_jp	attribute	attribute_jp	cost_official	pack_jp_official	pack_order	race_jp	rarity_official	dp_official	effect_tags_jp	effect_timing_jp	condition_tags_jp	official_conflicts
blue_00_00_03_00	blue	「海竜の召喚士」アクア Lv1	Aqua - Conjurer of Hydras Lv.1				《ベース》\n【配置時】\n「「アクアの召喚獣」シードラLv1」1枚を手札に\n加える。\n《ベース》\nこのマナは移動できない。\nRＡRＥ	<Base> [When Placed]\nAdd one Seadra - Of Aqua Lv.1 to your\nhand.\n<Base>\nThis minion cannot move.					ocr	761	「海竜の召喚士」アクア Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_03_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:03 EVOLVE	8	エヴォーカー	R					
blue_00_00_03_01	blue	「海竜の召喚士」アクア Lv2	Aqua - Conjurer of Hydras Lv.2				《ベース》\n【配置時】\n「「アクアの召喚獣」シードラLv2」1枚を手札に\n加える。\n《ベース》\nこのマナは移動できない。\nRＡRＥ	<Base> [When Placed]\nAdd one Seadra - Of Aqua Lv.2 to your\nhand.\n<Base>\nThis minion cannot move.					ocr	762	「海竜の召喚士」アクア Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_03_01.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:03 EVOLVE	8	エヴォーカー	R					
blue_00_00_03_02	blue	「海竜の召喚士」アクア Lv3	Aqua - Conjurer of Hydras Lv.3				《ベース》\n【配置時】\n「「アクアの召喚獣」シードラLv3」1枚を手札に\n加える。\n《ベース》\nこのマナは移動できない。\nRＡRＥ	"<Base> [When Placed]\nAdd one Seadra - Of Aqua Lv.3"" to your\nhand.\n<Base>\nThis minion cannot move."					ocr	763	「海竜の召喚士」アクア Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_03_02.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:03 EVOLVE	8	エヴォーカー	R					
blue_00_00_03_03	blue	「魔人の召喚士」ブルーナ Lv1	Broona - Conjurer of the Magus Lv.1				《ベース》\n【配置時】\n「「ブルーナの召喚獣」ジャイLv1」1枚を手札に\n加える。\n《ベース》\nこのマナは移動できない。	<Base> [When Placed]\nAdd one Juy - Of Broona Lv.1 to your\nhand.\n<Base>\nThis minion cannot move.					ocr	764	「魔人の召喚士」ブルーナ Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_03_03.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:03 EVOLVE	8	エヴォーカー	L					
blue_00_00_03_04	blue	「魔人の召喚士」ブルーナ Lv2	Broona - Conjurer of the Magus Lv.2				《ベース》\n【配置時】\n「「ブルーナの召喚獣」ジャイLv2」1枚を手札に\n加える。\n《ベース》\nこのマナは移動できない	<Base> [When Placed]\nAdd one Juy - Of Broona Lv.2 to your\nhand.\n<Base>\nThis minion cannot move.					ocr	765	「魔人の召喚士」ブルーナ Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_03_04.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:03 EVOLVE	8	エヴォーカー	L					
blue_00_00_03_05	blue	「魔人の召喚士」ブルーナ Lv3	Broona - Conjurer of the Magus Lv.3				《ベース》\n【配置時】\n「「ブルーナの召喚獣」ジャイLv3」1枚を手札に\n加える。\n《ベース》\nこのマナは移動できない。	<Base> [When Placed]\nAdd one Juy - Of Broona Lv.3 to your\nhand.\n<Base>\nThis minion cannot move.					ocr	766	「魔人の召喚士」ブルーナ Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_03_05.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:03 EVOLVE	8	エヴォーカー	L					
blue_00_00_04_00	blue	「蒼の魔術師」クー	Sheldon - The Navy Wizard				《ベース》\n【配置時】\n「クーの第1魔法：フォーサイト」1枚を手札に加\nえる。\n《ベース》\nこのマナは移動できない。	<Base> [When Placed]\nAdd one Sheldon's Spells, Entry 1\nForesight to your hand.\n<Base>\nThis minion cannot move.					ocr	767	「蒼の魔術師」クー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_04_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:04 FORBIDDEN	6	エヴォーカー	R					
blue_00_00_04_01	blue	「荒波の魔術師」マリン	Marlene - The Stormy Wizard				《ベース》\n【配置時】\n「マリンの第1魔法：チヨイス」1枚を手札に加え\n《ベース》\nこのマナは移動できない。\nＥＰＩＣ	<Base> {When Placed]\nAdd one Marlene's Spells, Entry 1\nDecision to your hand.\n<Base>\nThis minion cannot move.					ocr	768	「荒波の魔術師」マリン	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_04_01.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:04 FORBIDDEN	6	エヴォーカー	E					
blue_00_00_05_00	blue	裏方のタコハチ	Stagetentacle				《ベース》\n自分の種族「アーティスト」を持つミニオンがいる\n場合、このマナでマジックカ一ドのコストを支払う\n場合、全ての色のマナとして支払うことができる。	<Base>\nIf you have a minion belonging to the\nArtist class on the field, this mana can act as\nany color when paying the mana cost of\nMagic card.					ocr	780	裏方のタコハチ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_05_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青		PC:05 GLORY	2	アーティスト	C					
blue_00_00_EX03_00	blue	硯 秀斗 Lv1	Hideto Suzuri Lv.1	0			《ベース》\n【配置時】\n「戦士グスタフ」1枚を手札に加える。その後、\n「硯秀斗」をLv2こする。\n《ベース》\nこのマナは移動できない\nEPＩＣ	"<Base> [When Placed]\nAdd one The Soldier Gustav"" to your\nhand. Hideto Suzuri becomes Lv.2.\n<Base>\nThis minion cannot move."					ocr	769	硯 秀斗 Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/blue_00_00_EX03_00.png?v=20201113	base_minion	ベース・ミニオン	blue	青	0	EX:03 Battle Spirits	5	カードバトラー	E					
