id	cn_short	name_jp	name_zoo	life	passive_jp	on_destroy_jp	notes
force_li	丽	麗のフォース "セイレーン"	セイレーン	2	自分のターン中、自分のミニオンカードであるマナをフィールドに移動させるか、自分の【加護】を持つマナをベースから付与させるたび、無色マナ1つをレスト状態でベースに置く。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚をベースに置き、デッキをシャッフルする。その後、自分はカードを1枚引く。（【配置時】効果は発揮しない）	confirmed; previous Life=3 was wrong (actually 2)
force_kai	凱	凱のフォース "ミノタウロス"	ミノタウロス	4	自分のプレイヤーに与えられるミニオンからのDPによるダメージを1軽減する。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed
force_so	双	双のフォース "オルトロス"	オルトロス	3	自分のコスト5以上のミニオン全てをDP+1する。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed; creature is オルトロス (Orthrus), not セルカウルス as previously guessed
force_sei	圣	聖のフォース "スフィンクス"	スフィンクス	3	相手のターン中、自分のコスト5以下のミニオン全ては、相手のミニオンの効果で選択できない。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed; creature is スフィンクス (Sphinx), not マスティクス as previously guessed
force_e	恶	悪のフォース "サイクロプス"	サイクロプス	2	自分のミニオン全てをBP+100する。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚をベースに置き、デッキをシャッフルする。その後、自分はカードを1枚引く。（【配置時】効果は発揮しない）	**TARGETED FOR HOUSE-RULE BUFF: BP+100 → BP+200**; passive includes を (was missing in prior note)
force_kon	混	混のフォース "キマイラ"	キマイラ	3	自分のターン中、自分の無色マナでフィールド・ミニオンカードのコストを支払う場合、全ての色のマナとして支払うことができる。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed
force_chi	知	知のフォース "ケイローン"	ケイローン	4	自分の手札にあるマジックカードのフリーコストを2減らす。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed; Life is 4 (not 2 as previously guessed); reduces by 2 (not 1)
force_sho	翔	翔のフォース "ペガサス"	ペガサス	3	自分のターン開始時、自分のマナが4つ以上である場合、移動権を1増やす。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed
force_so2	苏	甦のフォース "フェニックス"	フェニックス	3	自分のターン終了時、自分のマナ全てをアクティブにする。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed; JP name is 甦 (not 蘇)
force_rin	轮	輪のフォース "ウロボロス"	ウロボロス	2	自分のターン終了時、自分のトークンでないミニオン全てをアクティブにする。	【破壊時】 自分はデッキの中からベース・ミニオンカード1枚を置き、デッキをシャッフルする。その後、自分はカードを1枚引く。	confirmed
