image_id	official_order	official_name_jp	official_image_url_jp	card_type	card_type_jp	attribute	attribute_jp	cost_official	pack_jp_official	pack_order	race_jp	rarity_official	dp_official	effect_tags_jp	effect_timing_jp	condition_tags_jp	official_conflicts
red_00_01_04_00	0	ブレイドラ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_04_00.png?v=20201113	field_minion	フィールド・ミニオン	red	赤	0	PC:04 FORBIDDEN	6	BS	E					
red_00_01_01_00	1	アグマの守護者	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_01_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:01 AWAKEN	14	ドワーフ	R					
red_00_01_00_00	2	アグマの鉱夫	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_00_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		ベーシック	15	ドワーフ	Basic					
red_00_01_01r_00	3	ドワーフの闘士	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_01r_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:01R BEYOND	12	ドワーフ	E					
red_00_01_02_00	4	「石精」ロックバイス	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_02_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:02 CONTRACT	11	ニンフ	C					
red_00_01_02_01	5	「炎精」ファイアリィ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_02_01.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:02 CONTRACT	11	ニンフ	E					
red_00_01_02r_00	6	「鉄精」アイロナ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_02r_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:02R DIVINE	10	ニンフ	R					
red_00_01_02r_01	7	「紅玉精」ルビニア	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_02r_01.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:02R DIVINE	10	ニンフ	E					
red_00_01_02c_00	8	「小竜」ピナ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_02c_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		EXCODE:02C SAO	9	ソード|ドラゴン	C					
red_00_01_02c_01	9	ダークリパルサー	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_02c_01.png?v=20201113	base_minion	ベース・ミニオン	red	赤		EXCODE:02C SAO	9	アイテム|ソード	R					
red_00_01_02c_02	10	エリュシデータ	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_01_02c_02.png?v=20201113	base_minion	ベース・ミニオン	red	赤		EXCODE:02C SAO	9	アイテム|ソード	E					
red_00_00_03_00	11	「火蜘蛛の召喚士」ロック Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_03_00.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:03 EVOLVE	8	エヴォーカー	R					
red_00_00_03_01	12	「火蜘蛛の召喚士」ロック Lv2	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_03_01.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:03 EVOLVE	8	エヴォーカー	R					
red_00_00_03_02	13	「火蜘蛛の召喚士」ロック Lv3	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_03_02.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:03 EVOLVE	8	エヴォーカー	R					
red_00_00_03_03	14	「炎石の召喚士」エミリー Lv1	https://www.aicarddass.com/zenonzard/images/cardlist/cards/red_00_00_03_03.png?v=20201113	base_minion	ベース・ミニオン	red	赤		PC:03 EVOLVE	8	エヴォーカー	L					
