image_id	name_jp	cost_image	bp_image	dp_image	ability_jp	image_path	secondary_source
blue_00_01_01r_00	マーメイドの戦士		300	1	【常時】\nこのミニオンはブロックできない。\n【配置時】\n自分のミニオン1体をベースに移動できる。	asserts/ZENONZARD_CARDLIST/BLUE/blue_00_01_01r_00.png	data/seesaa.tsv::マーメイドの戦士
blue_01_03_01r_00	碧の秘術書	1			【メイン】\n自分のデッキを上から4枚見て、その中のマジックカード1枚を公開して手札に加える。残りをランダムにデッキの下に戻す。	asserts/ZENONZARD_CARDLIST/BLUE/blue_01_03_01r_00.png	data/seesaa.tsv::碧の秘術書
blue_02_02_01r_00	ウォードバイパー	2	200	1	【後退時】\n自分の手札が4枚以下である場合、自分はカードを1枚引く。	asserts/ZENONZARD_CARDLIST/BLUE/blue_02_02_01r_00.png	data/seesaa.tsv::ウォードバイパー
blue_02_02_01r_01	ペンタゴナ音楽隊「フルート」	2	300	1	【常時】\n自分の手札にあるマジックカードのフリーコストを1減らす。	asserts/ZENONZARD_CARDLIST/BLUE/blue_02_02_01r_01.png	data/seesaa.tsv::ペンタゴナ音楽隊「フルート」
blue_03_03_01r_00	サプライズドポータル	3			【メイン】/【フラッシュ】\n自分のミニオンであるマナ1つを、フィールドにアクティブ状態で移動させる。	asserts/ZENONZARD_CARDLIST/BLUE/blue_03_03_01r_00.png	data/seesaa.tsv::サプライズドポータル
blue_05_02_01r_00	アクアコブラ	5	500	1	［潜入］\n【常時】\n自分の種族「デミゴッド」を持つミニオンがいる場合、このミニオンをBP+200/DP+1する。	asserts/ZENONZARD_CARDLIST/BLUE/blue_05_02_01r_00.png	data/seesaa.tsv::アクアコブラ
blue_05_03_01r_00	ハウリングボイス	5			【フラッシュ】\n相手のBP500以下のミニオン1体をレスト状態でベースに移動させる。または相手のプレイヤーに1ダメージを与える。	asserts/ZENONZARD_CARDLIST/BLUE/blue_05_03_01r_00.png	data/seesaa.tsv::ハウリングボイス
blue_06_02_01r_00	「慈しみを降らす者」ゴールドウェザー	6	500	2	【召喚時】\n自分の手札にある青のフィールド・ミニオンカード1枚を、レスト状態で置くことができる。	asserts/ZENONZARD_CARDLIST/BLUE/blue_06_02_01r_00.png	data/seesaa.tsv::「慈しみを降らす者」ゴールドウェザー
blue_08_02_01r_00	「ソリスト」ローズパガニーニ	8	700	2	【自分のターン】\n自分の種族「マーフォーク」を持つミニオン全てに［潜入］を与える。\n【後退時】\n自分はカードを2枚引く。	asserts/ZENONZARD_CARDLIST/BLUE/blue_08_02_01r_00.png	data/seesaa.tsv::「ソリスト」ローズパガニーニ
colorless_00_01_01r_00	魔術都市の住人		300	1	【配置時】\nこのマナをレストする。自分のトラッシュにある、コスト3以下のマジックカード1枚を手札に戻す。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_00_01_01r_00.png	data/seesaa.tsv::魔術都市の住人
colorless_00_01_01r_01	セントールの狩人		300	1	【配置時】\n相手のコスト4以下のミニオン1体をレストする。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_00_01_01r_01.png	data/seesaa.tsv::セントールの狩人
colorless_01_02_01r_00	ポリン	1	200	0	【召喚時】\n自分のベースにミニオンでない無色マナしかない場合、自分はカードを1枚引く。\n【常時】\nこのミニオンはベースに移動するとき、レスト状態で移動する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_01_02_01r_00.png	data/seesaa.tsv::ポリン
colorless_02_02_01r_00	スパイクトード	2	400	0	【常時】\nお互いのプレイヤーに与えられる、コスト3以下のミニオンからのDPによるダメージを1軽減する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_02_02_01r_00.png	data/seesaa.tsv::スパイクトード
colorless_03_02_01r_00	ベテランゴブリン	3	300	1	【召喚時】\n相手のミニオン1体にBP-200を付与する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_03_02_01r_00.png	data/seesaa.tsv::ベテランゴブリン
