image_id	name_jp	cost_image	bp_image	dp_image	ability_jp	image_path	secondary_source
blue_00_01_02_00	「泡精」バルボラ	-	300	0	加護：青	asserts/ZENONZARD_CARDLIST/BLUE/blue_00_01_02_00.png	data/seesaa.tsv::「泡精」バルボラ
blue_00_01_02_01	「波精」ヴルーヴェ	-	100	1	［加護:青+コスト4以上］\n«付与能力»【アタック時】\n自分の移動権を1増やす。	asserts/ZENONZARD_CARDLIST/BLUE/blue_00_01_02_01.png	data/seesaa.tsv::「波精」ヴルーヴェ
blue_00_03_02_00	マーフォークス・マーチ	0			【メイン】\n自分の青のミニオンがいる場合、自分の移動権を1増やす。	asserts/ZENONZARD_CARDLIST/BLUE/blue_00_03_02_00.png	data/seesaa.tsv::マーフォークス・マーチ
blue_01_02_02_00	ペンタゴナ音楽隊「見習組」	1(青1)	200	0	【召喚時】\n自分のデッキを上から1枚見る。そのカードをデッキの上か下に戻す。\n【常時】\nこのミニオンはベースに移動するとき、レスト状態で移動する。	asserts/ZENONZARD_CARDLIST/BLUE/blue_01_02_02_00.png	data/seesaa.tsv::ペンタゴナ音楽隊「見習組」
blue_02_02_02_00	ポイズンガブ	2(青1)	300	1	効果なし	asserts/ZENONZARD_CARDLIST/BLUE/blue_02_02_02_00.png	data/seesaa.tsv::ポイズンガブ
blue_03_02_02_00	「顎砕の竜巫女」ソフィア	3(青1)	400	1	【自分のターン】\n自分の種族「ドラゴン」を持つ、青または無色のミニオンカードが出るたび、自分はカードを1枚引く。	asserts/ZENONZARD_CARDLIST/BLUE/blue_03_02_02_00.png	data/seesaa.tsv::「顎砕の竜巫女」ソフィア
blue_03_03_02_00	ソニックウェイブ	3(青1)			【メイン】/【フラッシュ】\n相手のミニオン1体にBP-200と本来の数値にDP-1を付与する。	asserts/ZENONZARD_CARDLIST/BLUE/blue_03_03_02_00.png	data/seesaa.tsv::ソニックウェイブ
blue_04_02_02_00	バンド・オブ・ブラックスケイル	4(青2)	400	1	《ベース》【後退時】\n相手のコスト5以下のミニオン1体をレスト状態でベースに移動させる。（この効果はマナの効果として発揮する。）	asserts/ZENONZARD_CARDLIST/BLUE/blue_04_02_02_00.png	data/seesaa.tsv::バンド・オブ・ブラックスケイル
blue_05_02_02_00	「神餐の担い手」ジューリオ	4(青2)	600	1	【常時】\n他の自分の青のミニオンまたは自分の青のマナが移動するたび、それを移動先でアクティブにする。	asserts/ZENONZARD_CARDLIST/BLUE/blue_05_02_02_00.png	data/seesaa.tsv::「神餐の担い手」ジューリオ
blue_05_02_02_01	レインボージェリー	5(青2)	400	1	潜入\n【加護時】\n自分はカードを1枚引く。	asserts/ZENONZARD_CARDLIST/BLUE/blue_05_02_02_01.png	data/seesaa.tsv::レインボージェリー
blue_06_02_02_00	「知の探究者」ダビド	6(青2)	600	2	【召喚時】\n自分のデッキを上から3枚見て、その中のマジックカード全てを公開して手札に加える。残りをランダムにデッキの下に戻す。	asserts/ZENONZARD_CARDLIST/BLUE/blue_06_02_02_00.png	data/seesaa.tsv::「知の探究者」ダビド
blue_09_02_02_00	「顎砕公」ゲレロフォン	9(青3)	900	3	【召喚時】＆【自分のターン開始時】\nこのターン、次に使用する自分の青のマジックカードのコストを0にする。\n【自分のターン】\nこのミニオンは種族「ドラゴン」または「ドラゴニュート」を持たないミニオンにはブロックされない。	asserts/ZENONZARD_CARDLIST/BLUE/blue_09_02_02_00.png	data/seesaa.tsv::「顎砕公」ゲレロフォン
colorless_00_01_02_00	「弓精」アキュレー	-	200	1	加護：コスト4以上	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_00_01_02_00.png	data/seesaa.tsv::「弓精」アキュレー
colorless_00_01_02_01	「砂精」サンディー	-	200	0	加護：条件なし\n《付与能力》[再起]	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_00_01_02_01.png	data/seesaa.tsv::「砂精」サンディー
colorless_00_01_02_02	「空精」クリスカ	-	200	0	加護：コスト4以上\n《ベース》【配置時】\n自分のデッキを上から4枚見て、その中の種族「ドラゴン」を持つフィールド・ミニオンカード1枚を公開して手札に加える。残りをランダムにデッキの下に戻す。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_00_01_02_02.png	data/seesaa.tsv::「空精」クリスカ
colorless_02_02_02_00	「紅の鼠騎士」スカーレット	2	200	1	【召喚時】\n自分の[加護]が付与されているミニオンがいるか、自分のベースに［加護］を持つマナがある場合、自分はカードを1枚引く。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_02_02_02_00.png	data/seesaa.tsv::「紅の鼠騎士」スカーレット
colorless_02_02_02_01	グリーンミミック	2	300	1	【常時】\nお互いの手札にある種族「デミゴッド」を持つフィールド・ミニオンカードのフリーコストを2増やす。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_02_02_02_01.png	data/seesaa.tsv::グリーンミミック
colorless_03_02_02_00	ドラゴン・プリースト	3	100	0	【破壊時】\n「ドラゴン・トークン」1体を出す。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_03_02_02_00.png	data/seesaa.tsv::ドラゴン・プリースト
colorless_03_02_02_01	グレー・ブロッブ	3	100	0	【破壊時】\n相手のミニオン・トークンを全て破壊する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_03_02_02_01.png	data/seesaa.tsv::グレー・ブロッブ
colorless_03_02_02_02	ドランゲール	3	300	1	【常時】\n自分の手札にある種族「ドラゴン」を持つミニオンカードのフリーコストを1減らす。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_03_02_02_02.png	data/seesaa.tsv::ドランゲール
colorless_04_02_02_00	オブシディアン・ドラゴン	4	400	2	【常時】\n他の自分の種族「ドラゴン」を持つミニオン全てをBP+200する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_04_02_02_00.png	data/seesaa.tsv::オブシディアン・ドラゴン
colorless_04_02_02_01	スレイビートル	4	400	1	【相手のターン】\n自分のフォース全ては、相手の効果で選択できない。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_04_02_02_01.png	data/seesaa.tsv::スレイビートル
colorless_04_02_02_02	スティール・センチピード	4	400	1	【アタック時】\nこのミニオンがダメージを与えるたび、そのダメージ分、自分のプレイヤーを回復する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_04_02_02_02.png	data/seesaa.tsv::スティール・センチピード
colorless_04_02_02_03	密林王ブラックサーベルジャガー	4	500	1	【自分のターン】\n自分の[加護]を持つマナ全ては、レスト状態でも付与することができる。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_04_02_02_03.png	data/seesaa.tsv::密林王ブラックサーベルジャガー
colorless_05_02_02_00	ゴブリン・アサシン	5	400	2	奪命	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_05_02_02_00.png	data/seesaa.tsv::ゴブリン・アサシン
colorless_05_02_02_01	モノアイドラゴン	5	500	1	【召喚時】\n相手の【破壊時】を持つミニオン1体を除外する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_05_02_02_01.png	data/seesaa.tsv::モノアイドラゴン
colorless_05_02_02_03	「英雄」エラー・ド・ネジェル	5	600	1	【召喚時】\n相手のコスト8以上のミニオン全てを破壊する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_05_02_02_03.png	data/seesaa.tsv::「英雄」エラー・ド・ネジェル
colorless_06_02_02_00	ギリーボア	6	500	2	襲撃\n【召喚時】\n自分のプレイヤーか自分のフォース1つを1回復する。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_06_02_02_00.png	data/seesaa.tsv::ギリーボア
colorless_06_02_02_01	暴風竜ストームギラ	6	500	1	飛来\n【召喚時】\n相手のBP400以下のミニオン1体をレストする。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_06_02_02_01.png	data/seesaa.tsv::暴風竜ストームギラ
colorless_06_02_02_02	ブラック・フレイム	6	400	2	潜入\n【常時】\n他に自分のミニオンがいない場合、このミニオンは相手の効果で選択できない。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_06_02_02_02.png	data/seesaa.tsv::ブラック・フレイム
colorless_07_02_02_00	咆竜ブラスティオス	7	1000	3	効果なし	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_07_02_02_00.png	data/seesaa.tsv::咆竜ブラスティオス
colorless_07_02_02_01	「二艘槍」ハーゲン	7	400	2	【召喚時】\nこのターン中、このミニオンをBP+300する。\n【アタック時】\nターンに1回、このミニオンをアクティブにする。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_07_02_02_01.png	data/seesaa.tsv::「二艘槍」ハーゲン
colorless_08_02_02_00	「悪夢」ハイドラ	8	700	1	【自分のターン終了時】\n「ドラゴン・トークン」1体を出す。	asserts/ZENONZARD_CARDLIST/COLORLESS/colorless_08_02_02_00.png	data/seesaa.tsv::「悪夢」ハイドラ
green_00_01_02_00	「種精」ピットボック	-	300	0	［加護:緑］	asserts/ZENONZARD_CARDLIST/GREEN/green_00_01_02_00.png	data/seesaa.tsv::「種精」ピットボック
green_00_01_02_01	「樹精」グリーフィ	-	100	1	［加護:緑+コスト4以上］\n«付与能力»【アタック時】\n相手のフォース1つをレストする。	asserts/ZENONZARD_CARDLIST/GREEN/green_00_01_02_01.png	data/seesaa.tsv::「樹精」グリーフィ
