name_jp	cost	bp	dp	ability_jp	url	source
「さまよえる骨」リシャール	2(紫1)	100	1	"奪命
【加護時】
このターン中、自分のプレイヤーに「相手のミニオンが破壊されるたび、自分はカードを1枚引く。」を与える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%a4%b5%a4%de%a4%e8%a4%a8%a4%eb%b9%fc%a1%d7%a5%ea%a5%b7%a5%e3%a1%bc%a5%eb%a1%d5	seesaa
「オリジンズ02」アロンダイ	9(赤3)	800	2	"【召喚時】
「S・ゴレイム・トークン」（赤・ゴレイム・コスト1・BP100/DP1）2体を出すことができる。
【アタック時】
プレイヤーにアタックした場合、このターン中、自分のミニオンがブロックされるたび、相手のプレイヤーに1ダメージを与える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%a5%aa%a5%ea%a5%b8%a5%f3%a5%ba02%a1%d7%a5%a2%a5%ed%a5%f3%a5%c0%a5%a4%a1%d5	seesaa
「ソリスト」ローズパガニーニ	8(青3)	700	2	"【自分のターン】
自分の種族「マーフォーク」を持つミニオン全てに[潜入]を与える。
【後退時】
自分はカードを2枚引く。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%a5%bd%a5%ea%a5%b9%a5%c8%a1%d7%a5%ed%a1%bc%a5%ba%a5%d1%a5%ac%a5%cb%a1%bc%a5%cb%a1%d5	seesaa
「ベルカント」ピンクスカラ	5(青2)	500	2	"【自分のターン】
他の自分のミニオンがダメージを与えるたび、自分はカードを1枚引く。この効果は重複しない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%a5%d9%a5%eb%a5%ab%a5%f3%a5%c8%a1%d7%a5%d4%a5%f3%a5%af%a5%b9%a5%ab%a5%e9%a1%d5	seesaa
「マエストロ」ジェイドカラヤン	5(青2)	500	1	"【常時】
自分がマジックを使用するたび、「マーフォーク・トークン」（青・マーフォーク・コスト2BP200/DP1）1体を出す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%a5%de%a5%a8%a5%b9%a5%c8%a5%ed%a1%d7%a5%b8%a5%a7%a5%a4%a5%c9%a5%ab%a5%e9%a5%e4%a5%f3%a1%d5	seesaa
「愛花」アルルーナ	7(緑2)	600	2	"【召喚時】
相手のミニオン2体をレストする。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b0%a6%b2%d6%a1%d7%a5%a2%a5%eb%a5%eb%a1%bc%a5%ca%a1%d5	seesaa
「悪の鼠騎士」イーブ	4	400	1	"【召喚時】
自分が「悪のフォース”サイクロプス”」を選んでいる場合、自分の手札にある本来のコストが2以下のフィールド・ミニオンカード1枚を出すことができる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b0%ad%a4%ce%c1%cd%b5%b3%bb%ce%a1%d7%a5%a4%a1%bc%a5%d6%a1%d5	seesaa
「悪夢」ハイドラ	8	700	1	"【自分のターン終了時】
「ドラゴン・トークン」1体を出す。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b0%ad%cc%b4%a1%d7%a5%cf%a5%a4%a5%c9%a5%e9%a1%d5	seesaa
「暗黒騎士団長」イザーク	5(紫2)	500	2	"【相手のターン】
自分のミニオンが持つ[奪命]は相手のターンにも発揮する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b0%c5%b9%f5%b5%b3%bb%ce%c3%c4%c4%b9%a1%d7%a5%a4%a5%b6%a1%bc%a5%af%a1%d5	seesaa
「稲妻」マーガス	6(赤2)	600	2	"【召喚時】
自分のミニオンカードでない無色マナ1つを破壊する。そうした場合、このターン中、相手のミニオン1体はブロックできない。
【自分のターン】
自分のマナが1つ入れ替えによる破棄以外で減るたび、赤マナ1つをレスト状態でベースに置く。この効果は重複しない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b0%f0%ba%ca%a1%d7%a5%de%a1%bc%a5%ac%a5%b9%a1%d5	seesaa
「運命の図柄を描く者」ラケシス	9	500	1	"【召喚時】
相手のプレイヤーのライフと自分のフォース1つのライフを交換する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b1%bf%cc%bf%a4%ce%bf%de%ca%c1%a4%f2%c9%c1%a4%af%bc%d4%a1%d7%a5%e9%a5%b1%a5%b7%a5%b9%a1%d5	seesaa
「雲精」フィード	-	300	0	加護：黄	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b1%c0%c0%ba%a1%d7%a5%d5%a5%a3%a1%bc%a5%c9%a1%d5	seesaa
「影疾走」バヤガン	5(緑2)	400	2	"貫通
【加護時】
このターン中、このミニオンに[襲撃]と[再起]を与える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b1%c6%bc%c0%c1%f6%a1%d7%a5%d0%a5%e4%a5%ac%a5%f3%a1%d5	seesaa
「影精」プルシャ	-	100	1	"加護：紫+コスト4以上
《付与能力》[奪命]"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b1%c6%c0%ba%a1%d7%a5%d7%a5%eb%a5%b7%a5%e3%a1%d5	seesaa
「英雄」エラー・ド・ネジェル	5	600	1	"【召喚時】
相手のコスト8以上のミニオン全てを破壊する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b1%d1%cd%ba%a1%d7%a5%a8%a5%e9%a1%bc%a1%a6%a5%c9%a1%a6%a5%cd%a5%b8%a5%a7%a5%eb%a1%d5	seesaa
「炎精」ファイアリィ	-	100	1	"加護：赤+コスト4以上
《付与能力》【アタック時】
このミニオンがブロックされるたび、ブロックしているミニオンにBP-200を付与する。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b1%ea%c0%ba%a1%d7%a5%d5%a5%a1%a5%a4%a5%a2%a5%ea%a5%a3%a1%d5	seesaa
「炎魔」バルドロード	7	700	2	"【召喚時】
相手のBP1200以下のミニオン1体を破壊する。自分のフォース全てに1ダメージを与える。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b1%ea%cb%e2%a1%d7%a5%d0%a5%eb%a5%c9%a5%ed%a1%bc%a5%c9%a1%d5	seesaa
「黄金の果樹」ユグドラウォーカー	12	1000	3	"【自分のターン】
自分の手札にあるこのカードのフリーコストは、お互いの破壊されたフォース1つ毎に3減らされる。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b2%ab%b6%e2%a4%ce%b2%cc%bc%f9%a1%d7%a5%e6%a5%b0%a5%c9%a5%e9%a5%a6%a5%a9%a1%bc%a5%ab%a1%bc%a1%d5	seesaa
「快楽の奇術師」アズール	5(青5)	600	2	"【自分のターン】
このミニオンはブロックされない。"	https://seesaawiki.jp/zenonzard/d/%a1%d4%a1%d6%b2%f7%b3%da%a4%ce%b4%f1%bd%d1%bb%d5%a1%d7%a5%a2%a5%ba%a1%bc%a5%eb%a1%d5	seesaa
