card_id	name_zh	ability_zh
blue_00_01_00_00	波塞德歌者	"《卡组》
这张卡可以任意张数放入卡组。
【常时】
这张卡不能阻挡。"
blue_00_01_01_00	波塞德守护者	"【常时】
此 Minion 不能阻挡。
《Base》【自己回合结束时】
将此 Mana 变为激活状态。"
blue_01_02_01_00	温蒂妮	"【自己回合】
若本回合自己使用过 Magic，此 Minion DP+1。
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
blue_02_02_00_00	潘塔戈纳音乐队「大号」	"【常时】
每当自己使用 Magic 时，赋予此 Minion BP+100。"
blue_02_02_00_01	三角海象	
blue_02_02_01_00	龟鼠	"【召唤时】
双方各抽 1 张牌。"
blue_02_03_00_00	控流	"【Flash】
本回合中，使 1 体 Minion BP+300。若该 Minion 拥有种族「Merfolk」，自己抽 1 张牌。"
blue_02_03_01_00	惊袭魔法	"【Flash】
本回合中，将对手所有费用 4 以下 Minion 的本来数值 DP-1。"
blue_02_03_01_01	激流	"【Flash】
将对手 1 体费用 4 以下的 Minion 以疲劳状态移动到 Base。"
blue_03_02_00_00	白鳍海豚	"【召唤时】
自己抽 1 张牌。"
blue_03_02_01_00	守卫野牛	
blue_03_02_01_01	「引导龙宫公主」玛丽莎	"［连携：蓝］
【自己回合】
每当其他自己的蓝色 Minion 造成伤害时，赋予该 Minion DP+1。"
blue_03_03_00_00	尤里卡华尔兹	"【主要】
自己抽 2 张牌。"
blue_03_03_00_01	潮汐波	"【Flash】
将对手 1 体 Minion 以疲劳状态移动到 Base。"
blue_04_02_01_00	潘塔戈纳音乐队「定音鼓」	"［潜入］
【自己回合】
若本回合自己使用过蓝色 Magic，自己手牌中这张卡的自由费用变为 0。"
blue_04_03_01_00	革命交响曲	
blue_05_02_00_00	「美声」粉红斯卡拉	
blue_05_02_01_00	「快乐魔术师」阿祖尔	
blue_05_02_01_01	潘塔戈纳音乐队「大提琴」	"【召唤时】
将自己 Trash 中 1 张费用 4 以下的 Magic 卡返回手牌。"
blue_05_02_01_02	「大师」杰德卡拉扬	"【自己回合】
每当自己使用 Magic 时，放出 1 体「Merfolk Token」（蓝・Merfolk・费用2・BP200/DP1）。"
blue_06_02_01_00	水之巨蛇	
blue_07_02_00_00	守卫蛇	
blue_07_02_01_00	「水之女王」娜伊阿斯	"【召唤时】
将对手 2 体费用 4 以下的 Minion 以疲劳状态移动到 Base。"
blue_08_02_01_00	「深海之主」阿雷尚德	"【召唤时】
最多将自己的 3 个 Minion Mana 以激活状态移动到 Field。
【攻击时】
将对手 1 体 Minion 以疲劳状态移动到 Base。"
blue_08_02_01_01	黄金海豹	
colorless_00_01_01_00	1克拉鼠	"【配置时】
自己抽 1 张牌。"
colorless_00_01_01_01	锤头蜂	无效果
colorless_010_02_01_00	九神龙「斗」阿拉巴斯特	"［袭击］
【攻击时】
对对手玩家造成 3 点伤害。此伤害会因对手每有 1 个 Force 而减少 1 点。"
colorless_012_02_01_00	「黄金果树」世界树行者	
colorless_01_02_00_00	持盾哥布林	"【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
colorless_01_02_01_00	不胆怯的金鸡	"【常时】
若自己的所有 Force 均已破坏，此 Minion DP+1。
【常时】
此 Minion 移动到 Base 时，以疲劳状态移动。"
